ID del canal,URL del canal,Título del canal
UC7Ic_hZyJpcSClFT0RSYd0Q,http://www.youtube.com/channel/UC7Ic_hZyJpcSClFT0RSYd0Q,LeanRiccio
UC7LesmfW8QPP7mDYYLwW4Aw,http://www.youtube.com/channel/UC7LesmfW8QPP7mDYYLwW4Aw,Rockabye Baby!
UC7PY0etqxH1bbyon_9pzp_g,http://www.youtube.com/channel/UC7PY0etqxH1bbyon_9pzp_g,Pretty Pastel Please
UC7WxdIamaUWkIKxnkh3J30A,http://www.youtube.com/channel/UC7WxdIamaUWkIKxnkh3J30A,Darla Rave
UC8GntCqpzZ3pGZh_mUnfqLg,http://www.youtube.com/channel/UC8GntCqpzZ3pGZh_mUnfqLg,Alli Vera
UC8Mg_T31rGmEZO9HpbvJsvA,http://www.youtube.com/channel/UC8Mg_T31rGmEZO9HpbvJsvA,Lou Foulkes
UC8N0JTmTxJdSMBH1V_ERRvw,http://www.youtube.com/channel/UC8N0JTmTxJdSMBH1V_ERRvw,ArteZeballos
UC8Sl0zo1bK7kdPD7a5Edm6Q,http://www.youtube.com/channel/UC8Sl0zo1bK7kdPD7a5Edm6Q,Lucy Garland
UC93zOXfXFtJOgfPBsFGOCfQ,http://www.youtube.com/channel/UC93zOXfXFtJOgfPBsFGOCfQ,Twinelle
UC9B66T1P2yUucpNRzrj0zXg,http://www.youtube.com/channel/UC9B66T1P2yUucpNRzrj0zXg,Cha Cha Cha En Vivo
UC9HGzFGt7BLmWDqooUbWGBg,http://www.youtube.com/channel/UC9HGzFGt7BLmWDqooUbWGBg,Matthew Hussey
UC9ths7ZO0InEWmdYMBY0Y1g,http://www.youtube.com/channel/UC9ths7ZO0InEWmdYMBY0Y1g,Soy una pringada
UC9vs8KujZ2kJ2hbg01fNRVw,http://www.youtube.com/channel/UC9vs8KujZ2kJ2hbg01fNRVw,Filo News
UC9xrZhTgKwrFl4x-gLPG1kQ,http://www.youtube.com/channel/UC9xrZhTgKwrFl4x-gLPG1kQ,NO ES DE VEGANA
UCAMWWQQNQeD73DtiddfBrpg,http://www.youtube.com/channel/UCAMWWQQNQeD73DtiddfBrpg,alt-J
UCAP57cF-FSjJKzzXg7ntPlQ,http://www.youtube.com/channel/UCAP57cF-FSjJKzzXg7ntPlQ,CRITERION
UCAXvT4DXenJlobXbK_bPV0g,http://www.youtube.com/channel/UCAXvT4DXenJlobXbK_bPV0g,Sarah Dunk
UCAlPVV4C--XRCce3BQgvEcw,http://www.youtube.com/channel/UCAlPVV4C--XRCce3BQgvEcw,karlasnotes
UCAxlE0gqN9-dz1NB8xEoJjw,http://www.youtube.com/channel/UCAxlE0gqN9-dz1NB8xEoJjw,Gabriel Shane Dunn
UCB3W9gT-mFMN1j12pydSNOw,http://www.youtube.com/channel/UCB3W9gT-mFMN1j12pydSNOw,TRONICBOX
